epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.1318,1.24337,1.45355,1.216,0.60313,0.72586,0.74955,0.59436,0.82785,1.15019,1.0736,3.30556e-05,3.30556e-05,3.30556e-05
2,3.07668,1.21669,1.42238,1.19229,0.61795,0.70858,0.75727,0.60282,0.8503,1.18424,1.08698,6.55227e-05,6.55227e-05,6.55227e-05
3,4.04551,1.24867,1.29758,1.21918,0.60297,0.71239,0.73587,0.5935,0.86503,1.19933,1.09727,9.01359e-05,9.01359e-05,9.01359e-05
4,5.01442,1.18404,1.26563,1.19832,0.60013,0.67485,0.72015,0.57888,0.8743,1.22739,1.10344,8.3657e-05,8.3657e-05,8.3657e-05
5,6.00068,1.22363,1.24282,1.2137,0.6022,0.67459,0.72077,0.58164,0.88157,1.22919,1.10634,7.1876e-05,7.1876e-05,7.1876e-05
6,6.95761,1.1717,1.1827,1.16715,0.56655,0.67931,0.71467,0.5722,0.89024,1.23841,1.11509,6.0095e-05,6.0095e-05,6.0095e-05
7,7.89389,1.15324,1.151,1.14531,0.55062,0.70417,0.70739,0.56953,0.89155,1.24913,1.11622,4.8314e-05,4.8314e-05,4.8314e-05
8,8.84401,1.16057,1.19144,1.18133,0.54932,0.67186,0.69955,0.56682,0.89517,1.26464,1.12011,3.6533e-05,3.6533e-05,3.6533e-05
9,9.77973,1.11783,1.11702,1.13533,0.54048,0.69054,0.70802,0.56873,0.89421,1.2674,1.11892,2.4752e-05,2.4752e-05,2.4752e-05
10,10.7582,1.11542,1.14629,1.17642,0.54659,0.70556,0.70607,0.56826,0.88892,1.26167,1.11444,1.2971e-05,1.2971e-05,1.2971e-05
