epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3251,1.30958,2.88325,1.76236,1.24628,0,0.66124,0.63134,0.73232,0.56431,0.65731,0.52172,0.65515,0.46239,0.90122,2.3136,1.26417,1.10196,0,3.30556e-05,3.30556e-05,3.30556e-05
2,3.61377,1.3615,2.93449,1.74419,1.2637,0,0.66326,0.62685,0.74019,0.57447,0.58435,0.55567,0.65334,0.44843,0.90013,2.33135,1.29097,1.10457,0,6.55227e-05,6.55227e-05,6.55227e-05
3,4.972,1.31181,2.78994,1.45295,1.23144,0,0.64226,0.62767,0.73024,0.56492,0.48871,0.65172,0.6402,0.43282,0.90753,2.37715,1.30785,1.11147,0,9.01359e-05,9.01359e-05,9.01359e-05
4,6.32158,1.25857,2.80412,1.4436,1.24188,0,0.62677,0.61796,0.71925,0.56647,0.55446,0.5475,0.63453,0.41716,0.90545,2.44769,1.36807,1.12809,0,8.3657e-05,8.3657e-05,8.3657e-05
5,7.67927,1.31512,2.81986,1.4521,1.27572,0,0.65108,0.60648,0.71128,0.55964,0.52831,0.58936,0.63791,0.41239,0.90267,2.45589,1.3762,1.12485,0,7.1876e-05,7.1876e-05,7.1876e-05
6,9.024,1.25886,2.64134,1.41559,1.20275,0,0.5448,0.66257,0.69972,0.55041,0.49084,0.60106,0.6489,0.40601,0.90505,2.46759,1.38244,1.12546,0,6.0095e-05,6.0095e-05,6.0095e-05
7,10.3635,1.24005,2.64247,1.30042,1.17858,0,0.53801,0.67401,0.69623,0.55332,0.48593,0.60751,0.64118,0.40287,0.8988,2.4772,1.40285,1.12089,0,4.8314e-05,4.8314e-05,4.8314e-05
8,11.7163,1.24247,2.69464,1.36575,1.22326,0,0.5445,0.67967,0.71073,0.5692,0.64202,0.53473,0.64065,0.40943,0.90465,2.47565,1.43638,1.1295,0,3.6533e-05,3.6533e-05,3.6533e-05
9,13.059,1.19627,2.60862,1.27977,1.17533,0,0.54273,0.69296,0.70974,0.56739,0.64833,0.53248,0.64256,0.40218,0.89964,2.47901,1.4566,1.12522,0,2.4752e-05,2.4752e-05,2.4752e-05
10,14.4,1.13852,2.55231,1.25209,1.16757,0,0.48882,0.69931,0.7055,0.56318,0.66005,0.53492,0.63443,0.40869,0.90264,2.48083,1.47389,1.12308,0,1.2971e-05,1.2971e-05,1.2971e-05
